"unitid","value","year","metric","var_type"
100690,0,2022,"pct_two_or_more","raw"
100690,35.2395672333849,2022,"pct_undergrad","computed"
100690,38,2022,"pct_white","raw"
100690,647,2022,"total_enrollment","raw"
100690,199,2022,"transfer_in_enrollment","raw"
100690,228,2022,"undergraduate_enrollment","raw"
100690,0,2023,"first_time_enrollment","raw"
100690,261,2023,"full_time_enrollment","raw"
100690,84,2023,"pct_age_25plus","raw"
100690,1,2023,"pct_aian","raw"
100690,1,2023,"pct_asian","raw"
100690,60,2023,"pct_bipoc","computed"
100690,56,2023,"pct_black","raw"
100690,64.4654088050314,2023,"pct_graduate","computed"
100690,2,2023,"pct_hispanic","raw"
100690,0,2023,"pct_international","raw"
100690,1,2023,"pct_nhpi","raw"
100690,58.9622641509434,2023,"pct_part_time","computed"
100690,1,2023,"pct_race_unknown","raw"
100690,0,2023,"pct_two_or_more","raw"
100690,35.5345911949686,2023,"pct_undergrad","computed"
100690,39,2023,"pct_white","raw"
100690,636,2023,"total_enrollment","raw"
100690,170,2023,"transfer_in_enrollment","raw"
100690,226,2023,"undergraduate_enrollment","raw"
100690,0,2024,"first_time_enrollment","raw"
100690,266,2024,"full_time_enrollment","raw"
100690,15033,2024,"median_family_income","external"
100690,NA,2024,"pct_age_25plus","raw"
100690,2,2024,"pct_aian","raw"
100690,1,2024,"pct_asian","raw"
100690,62,2024,"pct_bipoc","computed"
100690,56,2024,"pct_black","raw"
100690,51.25,2024,"pct_first_generation","external"
100690,61.9718309859155,2024,"pct_graduate","computed"
100690,3,2024,"pct_hispanic","raw"
100690,0,2024,"pct_international","raw"
100690,1,2024,"pct_nhpi","raw"
100690,58.3724569640063,2024,"pct_part_time","computed"
100690,2,2024,"pct_race_unknown","raw"
100690,0,2024,"pct_two_or_more","raw"
100690,38.0281690140845,2024,"pct_undergrad","computed"
100690,36,2024,"pct_white","raw"
100690,639,2024,"total_enrollment","raw"
100690,199,2024,"transfer_in_enrollment","raw"
100690,243,2024,"undergraduate_enrollment","raw"
100706,1345,2020,"first_time_enrollment","raw"
100706,7345,2020,"full_time_enrollment","raw"
100706,15,2020,"pct_age_25plus","raw"
100706,1,2020,"pct_aian","raw"
100706,4,2020,"pct_asian","raw"
100706,23,2020,"pct_bipoc","computed"
100706,9,2020,"pct_black","raw"
100706,19.7219721972197,2020,"pct_graduate","computed"
100706,5,2020,"pct_hispanic","raw"
100706,3,2020,"pct_international","raw"
100706,0,2020,"pct_nhpi","raw"
100706,26.5426542654265,2020,"pct_part_time","computed"
100706,5,2020,"pct_race_unknown","raw"
100706,4,2020,"pct_two_or_more","raw"
100706,80.2780278027803,2020,"pct_undergrad","computed"
100706,69,2020,"pct_white","raw"
100706,21,2020,"residential_share","external"
100706,9999,2020,"total_enrollment","raw"
100706,736,2020,"transfer_in_enrollment","raw"
100706,8027,2020,"undergraduate_enrollment","raw"
100706,1204,2021,"first_time_enrollment","raw"
100706,6897,2021,"full_time_enrollment","raw"
100706,15,2021,"pct_age_25plus","raw"
100706,1,2021,"pct_aian","raw"
100706,4,2021,"pct_asian","raw"
100706,23,2021,"pct_bipoc","computed"
100706,9,2021,"pct_black","raw"
100706,21.4508094645081,2021,"pct_graduate","computed"
100706,5,2021,"pct_hispanic","raw"
100706,3,2021,"pct_international","raw"
100706,0,2021,"pct_nhpi","raw"
100706,28.4246575342466,2021,"pct_part_time","computed"
100706,5,2021,"pct_race_unknown","raw"
100706,4,2021,"pct_two_or_more","raw"
100706,78.5491905354919,2021,"pct_undergrad","computed"
100706,69,2021,"pct_white","raw"
100706,24,2021,"residential_share","external"
100706,9636,2021,"total_enrollment","raw"
100706,627,2021,"transfer_in_enrollment","raw"
100706,7569,2021,"undergraduate_enrollment","raw"
100706,1172,2022,"first_time_enrollment","raw"
100706,6587,2022,"full_time_enrollment","raw"
100706,15,2022,"pct_age_25plus","raw"
100706,1,2022,"pct_aian","raw"
100706,4,2022,"pct_asian","raw"
100706,23,2022,"pct_bipoc","computed"
100706,9,2022,"pct_black","raw"
100706,22.3882212839667,2022,"pct_graduate","computed"
100706,6,2022,"pct_hispanic","raw"
100706,4,2022,"pct_international","raw"
100706,0,2022,"pct_nhpi","raw"
100706,28.6889682797445,2022,"pct_part_time","computed"
100706,4,2022,"pct_race_unknown","raw"
100706,4,2022,"pct_two_or_more","raw"
100706,77.6117787160333,2022,"pct_undergrad","computed"
100706,69,2022,"pct_white","raw"
100706,26,2022,"residential_share","external"
100706,9237,2022,"total_enrollment","raw"
100706,638,2022,"transfer_in_enrollment","raw"
100706,7169,2022,"undergraduate_enrollment","raw"
100706,1176,2023,"first_time_enrollment","raw"
100706,6275,2023,"full_time_enrollment","raw"
100706,15,2023,"pct_age_25plus","raw"
100706,1,2023,"pct_aian","raw"
100706,4,2023,"pct_asian","raw"
100706,26,2023,"pct_bipoc","computed"
100706,9,2023,"pct_black","raw"
100706,21.6401692782798,2023,"pct_graduate","computed"
100706,6,2023,"pct_hispanic","raw"
100706,4,2023,"pct_international","raw"
100706,0,2023,"pct_nhpi","raw"
100706,28.2282969232529,2023,"pct_part_time","computed"
100706,3,2023,"pct_race_unknown","raw"
100706,4,2023,"pct_two_or_more","raw"
100706,78.3598307217202,2023,"pct_undergrad","computed"
100706,67,2023,"pct_white","raw"
100706,16,2023,"residential_share","external"
100706,8743,2023,"total_enrollment","raw"
100706,603,2023,"transfer_in_enrollment","raw"
100706,6851,2023,"undergraduate_enrollment","raw"
100706,1212,2024,"first_time_enrollment","raw"
100706,6286,2024,"full_time_enrollment","raw"
100706,44787,2024,"median_family_income","external"
100706,14,2024,"pct_age_25plus","raw"
100706,1,2024,"pct_aian","raw"
100706,4,2024,"pct_asian","raw"
100706,26,2024,"pct_bipoc","computed"
100706,10,2024,"pct_black","raw"
100706,31.01321586,2024,"pct_first_generation","external"
100706,20.5978514712751,2024,"pct_graduate","computed"
100706,7,2024,"pct_hispanic","raw"
100706,3,2024,"pct_international","raw"
100706,0,2024,"pct_nhpi","raw"
100706,26.5997197571228,2024,"pct_part_time","computed"
100706,4,2024,"pct_race_unknown","raw"
100706,4,2024,"pct_two_or_more","raw"
100706,79.4021485287249,2024,"pct_undergrad","computed"
100706,67,2024,"pct_white","raw"
100706,15,2024,"residential_share","external"
100706,8564,2024,"total_enrollment","raw"
100706,584,2024,"transfer_in_enrollment","raw"
100706,6800,2024,"undergraduate_enrollment","raw"
100724,975,2020,"first_time_enrollment","raw"
100724,3607,2020,"full_time_enrollment","raw"
100724,7,2020,"pct_age_25plus","raw"
100724,0,2020,"pct_aian","raw"
100724,0,2020,"pct_asian","raw"
100724,94,2020,"pct_bipoc","computed"
100724,90,2020,"pct_black","raw"
100724,11.2475442043222,2020,"pct_graduate","computed"
100724,1,2020,"pct_hispanic","raw"
100724,1,2020,"pct_international","raw"
100724,0,2020,"pct_nhpi","raw"
100724,11.4194499017682,2020,"pct_part_time","computed"
100724,1,2020,"pct_race_unknown","raw"
100724,1,2020,"pct_two_or_more","raw"
100724,88.7524557956778,2020,"pct_undergrad","computed"
100724,4,2020,"pct_white","raw"
100724,4072,2020,"total_enrollment","raw"
100724,137,2020,"transfer_in_enrollment","raw"
100724,3614,2020,"undergraduate_enrollment","raw"
100724,890,2021,"first_time_enrollment","raw"
100724,3378,2021,"full_time_enrollment","raw"
100724,7,2021,"pct_age_25plus","raw"
100724,0,2021,"pct_aian","raw"
100724,0,2021,"pct_asian","raw"
100724,93,2021,"pct_bipoc","computed"
100724,90,2021,"pct_black","raw"
100724,11.7305751765893,2021,"pct_graduate","computed"
100724,1,2021,"pct_hispanic","raw"
100724,2,2021,"pct_international","raw"
100724,0,2021,"pct_nhpi","raw"
100724,14.7830474268416,2021,"pct_part_time","computed"
100724,1,2021,"pct_race_unknown","raw"
100724,1,2021,"pct_two_or_more","raw"
100724,88.2694248234107,2021,"pct_undergrad","computed"
100724,4,2021,"pct_white","raw"
100724,61,2021,"residential_share","external"
100724,3964,2021,"total_enrollment","raw"
100724,133,2021,"transfer_in_enrollment","raw"
100724,3499,2021,"undergraduate_enrollment","raw"
100724,943,2022,"first_time_enrollment","raw"
