"unitid","year","metric","value"
102395,2024,"womens_varsity_sports",3
102553,2024,"female_athletes_undup",87
102553,2024,"male_athletes_undup",106
102553,2024,"mens_varsity_sports",6
102553,2024,"multi_sport_ratio",1.51813471502591
102553,2024,"pct_athletes_overall",5.01428942582489
102553,2024,"pct_female_athletes",4.10764872521247
102553,2024,"pct_male_athletes",6.12362796071635
102553,2024,"total_athletes_undup",193
102553,2024,"total_varsity_sports",13
102553,2024,"womens_varsity_sports",7
102614,2024,"female_athletes_undup",69
102614,2024,"male_athletes_undup",71
102614,2024,"mens_varsity_sports",4
102614,2024,"multi_sport_ratio",1.10714285714286
102614,2024,"pct_athletes_overall",5.63607085346216
102614,2024,"pct_female_athletes",5.08474576271187
102614,2024,"pct_male_athletes",6.29991126885537
102614,2024,"total_athletes_undup",140
102614,2024,"total_varsity_sports",9
102614,2024,"womens_varsity_sports",5
104151,2024,"female_athletes_undup",267
104151,2024,"male_athletes_undup",349
104151,2024,"mens_varsity_sports",9
104151,2024,"multi_sport_ratio",1.15584415584416
104151,2024,"pct_athletes_overall",1.02194867030542
104151,2024,"pct_female_athletes",0.901844220766061
104151,2024,"pct_male_athletes",1.13788269048939
104151,2024,"total_athletes_undup",616
104151,2024,"total_varsity_sports",22
104151,2024,"womens_varsity_sports",13
104179,2024,"female_athletes_undup",233
104179,2024,"male_athletes_undup",268
104179,2024,"mens_varsity_sports",7
104179,2024,"multi_sport_ratio",1.21956087824351
104179,2024,"pct_athletes_overall",1.41075099259426
104179,2024,"pct_female_athletes",1.14338993031701
104179,2024,"pct_male_athletes",1.77073009580443
104179,2024,"total_athletes_undup",501
104179,2024,"total_varsity_sports",18
104179,2024,"womens_varsity_sports",11
104425,2024,"female_athletes_undup",51
104425,2024,"male_athletes_undup",55
104425,2024,"mens_varsity_sports",3
104425,2024,"multi_sport_ratio",1
104425,2024,"pct_athletes_overall",7.30027548209366
104425,2024,"pct_female_athletes",6.18932038834951
104425,2024,"pct_male_athletes",8.75796178343949
104425,2024,"total_athletes_undup",106
104425,2024,"total_varsity_sports",6
104425,2024,"womens_varsity_sports",3
104577,2024,"female_athletes_undup",86
104577,2024,"male_athletes_undup",83
104577,2024,"mens_varsity_sports",4
104577,2024,"multi_sport_ratio",1
104577,2024,"pct_athletes_overall",13.11093871218
104577,2024,"pct_female_athletes",13.5860979462875
104577,2024,"pct_male_athletes",12.6524390243902
104577,2024,"total_athletes_undup",169
104577,2024,"total_varsity_sports",8
104577,2024,"womens_varsity_sports",4
104586,2024,"female_athletes_undup",98
104586,2024,"male_athletes_undup",132
104586,2024,"mens_varsity_sports",6
104586,2024,"multi_sport_ratio",1.08260869565217
104586,2024,"pct_athletes_overall",7.5261780104712
104586,2024,"pct_female_athletes",11.5158636897767
104586,2024,"pct_male_athletes",5.98639455782313
104586,2024,"total_athletes_undup",230
104586,2024,"total_varsity_sports",12
104586,2024,"womens_varsity_sports",6
104708,2024,"female_athletes_undup",101
104708,2024,"male_athletes_undup",142
104708,2024,"mens_varsity_sports",8
104708,2024,"multi_sport_ratio",1.16049382716049
104708,2024,"pct_athletes_overall",6.39642011055541
104708,2024,"pct_female_athletes",5.13472292831723
104708,2024,"pct_male_athletes",7.75109170305677
104708,2024,"total_athletes_undup",243
104708,2024,"total_varsity_sports",16
104708,2024,"womens_varsity_sports",8
105145,2024,"female_athletes_undup",18
105145,2024,"male_athletes_undup",62
105145,2024,"mens_varsity_sports",2
105145,2024,"multi_sport_ratio",1
105145,2024,"pct_athletes_overall",7.31261425959781
105145,2024,"pct_female_athletes",2.57510729613734
105145,2024,"pct_male_athletes",15.6962025316456
105145,2024,"total_athletes_undup",80
105145,2024,"total_varsity_sports",3
105145,2024,"womens_varsity_sports",1
105154,2024,"female_athletes_undup",104
105154,2024,"male_athletes_undup",137
105154,2024,"mens_varsity_sports",8
105154,2024,"multi_sport_ratio",1.35269709543568
105154,2024,"pct_athletes_overall",5.38908765652952
105154,2024,"pct_female_athletes",4.60992907801418
105154,2024,"pct_male_athletes",6.18231046931408
105154,2024,"total_athletes_undup",241
105154,2024,"total_varsity_sports",18
105154,2024,"womens_varsity_sports",10
105297,2024,"female_athletes_undup",12
105297,2024,"male_athletes_undup",14
105297,2024,"mens_varsity_sports",3
105297,2024,"multi_sport_ratio",1
105297,2024,"pct_athletes_overall",4.05616224648986
105297,2024,"pct_female_athletes",2.62008733624454
105297,2024,"pct_male_athletes",7.65027322404372
105297,2024,"total_athletes_undup",26
105297,2024,"total_varsity_sports",6
105297,2024,"womens_varsity_sports",3
105330,2024,"female_athletes_undup",150
105330,2024,"male_athletes_undup",203
105330,2024,"mens_varsity_sports",4
