"unitid","value","year","metric","var_type"
101189,24,2020,"yield_rate","raw"
101189,65,2021,"acceptance_rate","raw"
101189,19.5,2021,"act_mid50","computed"
101189,1791,2021,"application_volume","raw"
101189,59,2021,"pct_submitting_act","raw"
101189,12,2021,"pct_submitting_sat","raw"
101189,1097.5,2021,"sat_mid50","computed"
101189,-12,2021,"yield_men_vs_women","computed"
101189,20,2021,"yield_rate","raw"
101189,82,2022,"acceptance_rate","raw"
101189,19,2022,"act_mid50","computed"
101189,1728,2022,"application_volume","raw"
101189,47,2022,"pct_submitting_act","raw"
101189,6,2022,"pct_submitting_sat","raw"
101189,1030,2022,"sat_mid50","computed"
101189,-8,2022,"yield_men_vs_women","computed"
101189,17,2022,"yield_rate","raw"
101189,66,2023,"acceptance_rate","raw"
101189,19,2023,"act_mid50","computed"
101189,1786,2023,"application_volume","raw"
101189,73,2023,"pct_submitting_act","raw"
101189,12,2023,"pct_submitting_sat","raw"
101189,990,2023,"sat_mid50","computed"
101189,-9,2023,"yield_men_vs_women","computed"
101189,20,2023,"yield_rate","raw"
101189,73,2024,"acceptance_rate","raw"
101189,19,2024,"act_mid50","computed"
101189,1073,2024,"application_volume","raw"
101189,14,2024,"pct_submitting_act","raw"
101189,2,2024,"pct_submitting_sat","raw"
101189,-10,2024,"yield_men_vs_women","computed"
101189,34,2024,"yield_rate","raw"
101365,92,2020,"acceptance_rate","raw"
101365,177,2020,"application_volume","raw"
101365,0,2020,"yield_men_vs_women","computed"
101365,63,2020,"yield_rate","raw"
101365,94,2021,"acceptance_rate","raw"
101365,179,2021,"application_volume","raw"
101365,0,2021,"yield_men_vs_women","computed"
101365,69,2021,"yield_rate","raw"
101365,94,2022,"acceptance_rate","raw"
101365,153,2022,"application_volume","raw"
101365,0,2022,"yield_men_vs_women","computed"
101365,69,2022,"yield_rate","raw"
101365,94,2023,"acceptance_rate","raw"
101365,127,2023,"application_volume","raw"
101365,0,2023,"yield_men_vs_women","computed"
